symbol,class,finnhub_id,start,end
ARIB,,FH15641221,1992-06-15,1996-06-26
KLAC,,FH59359121,1992-06-15,2019-12-31
LQID,,FH64742T21,1999-07-09,2003-06-04
SKK,,FH85459A310,2007-02-22,2015-01-08
USAC,,FH102493921,1992-06-15,1998-02-23
ACTU,,FH11619B21,1998-07-17,2010-11-02
BIRT,,FH11619B21,2010-11-03,2015-01-15
DFI,,FH37819521,1992-06-15,1997-08-05
TNXP,,FH910137181,2013-08-09,2019-12-31
SHNY,,FH36571E21,2016-09-08,2018-09-24
NXS,,FH78174Y21,1992-09-18,1994-08-04
AMCF,,FH78197W21,2010-01-26,2015-09-01
BSRF,,FH110177J21,1993-01-27,1994-12-15
MINC,,FH11879Y83,2013-03-20,2019-12-31
MTT,,FH106879A21,2009-03-27,2019-12-31
TLK,,FH82679521,1995-11-16,2019-12-31
FNGN,,FH42859621,2010-03-16,2018-07-18
DIST,,FH13452Q31,1995-08-07,1999-12-30
DIT,,FH13452Q31,2000-01-03,2019-12-31
RBCO,,FH89459421,1992-06-15,1998-06-30
BKT,,FH110358F21,1992-06-15,2019-12-31
IGT,,FH5610101321,1992-06-15,2015-04-06
CNET,,FH2710510H31,2010-03-04,2019-12-31
DWRE,,FH35913Y21,2012-03-15,2016-07-08
LVTD,,FH628710421,1994-04-08,1995-04-21
TPOR,,FH36571E78,2017-05-03,2019-12-31
TGN,,FH994691021,1992-06-15,1993-03-11
THP,,FH994691021,1993-03-12,1999-10-28
AVGN,,FH164710121,1996-05-23,2009-12-18
XXII,,FH101248F21,2014-03-11,2019-12-31
MCMC,,FH66378521,1992-06-18,1998-08-19
DMAR,,FH34915621,1992-06-15,1998-07-07
TVL,,FH99471321,1992-11-16,1999-03-25
UVL,,FH99471321,1992-06-15,1992-11-12
CHA,,FH271053721,2002-11-14,2019-12-31
APLP,,FH141068U21,2015-11-04,2018-04-26
EXLP,,FH141068U21,2007-08-21,2015-11-03
UCLP,,FH141068U21,2006-10-17,2007-08-20
CBR,,FH28274B21,1997-06-19,2017-04-07
CIBR,,FH28274B21,1994-03-29,1997-06-18
IMM,,FH563621021,2003-08-11,2009-05-21
IMMT,,FH563621021,1999-04-27,2002-12-02
SNDV,,FH94722Q51,2001-08-20,2004-01-15
WITC,,FH94722Q51,1999-06-04,2001-08-17
GAF,,FH89574X91,2007-03-23,2017-07-24
CUTC,,FH34321921,1992-06-15,1998-03-30
NIMSY,,FH41596231,1992-06-15,1995-02-28
ATS,,FH11314R21,1996-12-17,2008-08-06
LAWR,,FH236102721,1992-06-15,1994-04-13
BBN,,FH110359X21,2010-08-27,2019-12-31
PAGI,,FH81835821,1993-10-29,1998-08-03
PNG,,FH81835821,1998-08-04,2005-01-24
CRVP,,FH331051F21,2010-05-03,2018-03-22
VPS,,FH331051F21,1999-05-18,2010-04-30
VPUR,,FH331051F21,1994-01-14,1999-05-17
VPURA,A,FH331051F21,1992-12-07,1994-01-13
MFST,,FH66383T21,1993-05-21,1996-12-31
DYC,,FH37857321,1994-07-14,1997-08-08
KREN,,FH510727331,1992-06-15,1999-10-11
CWTS,,FH33347731,1994-05-20,1996-08-13
UNWR,,FH101449R21,2002-04-03,2005-08-12
UNWR,A,FH101449R21,2000-05-18,2002-04-02
ECLN,,FH44849D81,2019-08-21,2019-12-31
ADEX,,FH111910C21,1995-10-19,2006-10-11
STII,,FH96551321,1992-06-15,1999-12-14
FWC,,FHH3828921,1992-06-15,2003-01-13
FWLT,,FHH3828921,2005-06-03,2014-12-03
DNCR,,FH378103131,2000-11-17,2002-07-25
JADE,,FHG6642321,1999-04-16,2013-07-30
JADEF,,FHG6642321,1998-04-17,1999-04-15
RCKY,,FH88562621,1993-02-04,2019-12-31
CDC,,FH103758N93,2014-07-02,2019-12-31
ROHI,,FH889771021,2005-11-08,2008-06-11
FLGT,,FH461077521,2016-09-29,2019-12-31
HAMP,,FH519961021,1992-06-18,2007-01-18
ALN,,FH129110221,1992-06-15,2003-07-15
GSL,A,FHY3829471,2008-08-15,2019-12-31
MAQ,,FHY3829471,2006-09-29,2008-08-14
CHSE,,FH23653A31,1995-04-24,1998-08-06
HS,,FH23653A31,1998-08-10,2000-04-03
HYBR,,FH55971K21,1997-11-12,2002-04-05
