,date
0,1992-06-15
1,1992-06-16
2,1992-06-17
3,1992-06-18
4,1992-06-19
5,1992-06-22
6,1992-06-23
7,1992-06-24
8,1992-06-25
9,1992-06-26
10,1992-06-29
11,1992-06-30
12,1992-07-01
13,1992-07-02
14,1992-07-06
15,1992-07-07
16,1992-07-08
17,1992-07-09
18,1992-07-10
19,1992-07-13
20,1992-07-14
21,1992-07-15
22,1992-07-16
23,1992-07-17
24,1992-07-20
25,1992-07-21
26,1992-07-22
27,1992-07-23
28,1992-07-24
29,1992-07-27
30,1992-07-28
31,1992-07-29
32,1992-07-30
33,1992-07-31
34,1992-08-03
35,1992-08-04
36,1992-08-05
37,1992-08-06
38,1992-08-07
39,1992-08-10
40,1992-08-11
41,1992-08-12
42,1992-08-13
43,1992-08-14
44,1992-08-17
45,1992-08-18
46,1992-08-19
47,1992-08-20
48,1992-08-21
49,1992-08-24
50,1992-08-25
51,1992-08-26
52,1992-08-27
53,1992-08-28
54,1992-08-31
55,1992-09-01
56,1992-09-02
57,1992-09-03
58,1992-09-04
59,1992-09-08
60,1992-09-09
61,1992-09-10
62,1992-09-11
63,1992-09-14
64,1992-09-15
65,1992-09-16
66,1992-09-17
67,1992-09-18
68,1992-09-21
69,1992-09-22
70,1992-09-23
71,1992-09-24
72,1992-09-25
73,1992-09-28
74,1992-09-29
75,1992-09-30
76,1992-10-01
77,1992-10-02
78,1992-10-05
79,1992-10-06
80,1992-10-07
81,1992-10-08
82,1992-10-09
83,1992-10-12
84,1992-10-13
85,1992-10-14
86,1992-10-15
87,1992-10-16
88,1992-10-19
89,1992-10-20
90,1992-10-21
91,1992-10-22
92,1992-10-23
93,1992-10-26
94,1992-10-27
95,1992-10-28
96,1992-10-29
97,1992-10-30
98,1992-11-02
99,1992-11-03
100,1992-11-04
101,1992-11-05
102,1992-11-06
103,1992-11-09
104,1992-11-10
105,1992-11-11
106,1992-11-12
107,1992-11-13
108,1992-11-16
109,1992-11-17
110,1992-11-18
111,1992-11-19
112,1992-11-20
113,1992-11-23
114,1992-11-24
115,1992-11-25
116,1992-11-27
117,1992-11-30
118,1992-12-01
119,1992-12-02
120,1992-12-03
121,1992-12-04
122,1992-12-07
123,1992-12-08
124,1992-12-09
125,1992-12-10
126,1992-12-11
127,1992-12-14
128,1992-12-15
129,1992-12-16
130,1992-12-17
131,1992-12-18
132,1992-12-21
133,1992-12-22
134,1992-12-23
135,1992-12-24
136,1992-12-28
137,1992-12-29
138,1992-12-30
139,1992-12-31
140,1993-01-04
141,1993-01-05
142,1993-01-06
143,1993-01-07
144,1993-01-08
145,1993-01-11
146,1993-01-12
147,1993-01-13
148,1993-01-14
149,1993-01-15
150,1993-01-18
151,1993-01-19
152,1993-01-20
153,1993-01-21
154,1993-01-22
155,1993-01-25
156,1993-01-26
157,1993-01-27
158,1993-01-28
159,1993-01-29
160,1993-02-01
161,1993-02-02
162,1993-02-03
163,1993-02-04
164,1993-02-05
165,1993-02-08
166,1993-02-09
167,1993-02-10
168,1993-02-11
169,1993-02-12
170,1993-02-16
171,1993-02-17
172,1993-02-18
173,1993-02-19
174,1993-02-22
175,1993-02-23
176,1993-02-24
177,1993-02-25
178,1993-02-26
179,1993-03-01
180,1993-03-02
181,1993-03-03
182,1993-03-04
183,1993-03-05
184,1993-03-08
185,1993-03-09
186,1993-03-10
187,1993-03-11
188,1993-03-12
189,1993-03-15
190,1993-03-16
191,1993-03-17
192,1993-03-18
193,1993-03-19
194,1993-03-22
195,1993-03-23
196,1993-03-24
197,1993-03-25
198,1993-03-26
199,1993-03-29
200,1993-03-30
201,1993-03-31
202,1993-04-01
203,1993-04-02
204,1993-04-05
205,1993-04-06
206,1993-04-07
207,1993-04-08
208,1993-04-12
209,1993-04-13
210,1993-04-14
211,1993-04-15
212,1993-04-16
213,1993-04-19
214,1993-04-20
215,1993-04-21
216,1993-04-22
217,1993-04-23
218,1993-04-26
219,1993-04-27
220,1993-04-28
221,1993-04-29
222,1993-04-30
223,1993-05-03
224,1993-05-04
225,1993-05-05
226,1993-05-06
227,1993-05-07
228,1993-05-10
229,1993-05-11
230,1993-05-12
231,1993-05-13
232,1993-05-14
233,1993-05-17
234,1993-05-18
235,1993-05-19
236,1993-05-20
237,1993-05-21
238,1993-05-24
239,1993-05-25
240,1993-05-26
241,1993-05-27
242,1993-05-28
243,1993-06-01
244,1993-06-02
245,1993-06-03
246,1993-06-04
247,1993-06-07
248,1993-06-08
249,1993-06-09
250,1993-06-10
251,1993-06-11
252,1993-06-14
253,1993-06-15
254,1993-06-16
255,1993-06-17
256,1993-06-18
257,1993-06-21
258,1993-06-22
259,1993-06-23
260,1993-06-24
261,1993-06-25
262,1993-06-28
263,1993-06-29
264,1993-06-30
265,1993-07-01
266,1993-07-02
267,1993-07-06
268,1993-07-07
269,1993-07-08
270,1993-07-09
271,1993-07-12
272,1993-07-13
273,1993-07-14
274,1993-07-15
275,1993-07-16
276,1993-07-19
277,1993-07-20
278,1993-07-21
