finnhub_id,symbol,class,open,high,low,close,volume,div,adjustment,bid,ask
FH161089R21,MBNC,,7.12,7.75,7.12,7.75,8000,,,7.0,8.5
FH410142921,GCBK,,1.75,2.0,1.75,2.0,3000,,,1.75,2.12
FH238110621,CBOT,,8.12,8.38,7.75,8.12,25600,,,8.12,8.38
FH11317821,ATCE,,3.38,3.5,3.25,3.5,33050,,,3.25,3.5
FH344371021,DPAC,,1.25,1.25,1.25,1.25,2000,,,1.25,1.38
FH92113341,FIGIA,A,17.5,18.25,17.5,18.25,40800,,,17.5,18.25
FH551061821,IFRS,,4.75,5.75,4.75,5.75,12963,,,5.0,5.75
FH510418621,KEYC,,20.0,20.62,20.0,20.25,7009,,,20.25,20.75
FH21599331,BIRI,,0.19,0.19,0.19,0.19,2000,,,0.12,0.38
FH11214221,AEPI,,10.75,12.0,10.5,12.0,10775,,,11.75,12.0
FH57714321,JJSF,,9.38,10.0,9.38,9.75,124100,,,9.62,10.0
FH831024321,PLXS,,18.5,18.5,17.75,17.75,14827,,,17.75,18.5
FH493110221,GGUY,,10.25,10.25,9.75,10.25,50692,,,9.75,10.25
FH46353V21,FSVB,,8.25,8.25,7.5,8.25,1435,,,7.5,8.25
FH249971041,CYNR,,2.75,2.75,2.69,2.69,3108,,,2.5,2.75
FH14378321,AATI,,10.75,10.75,10.75,10.75,200,,,10.25,10.75
FH88578X21,RMCF,,4.25,4.25,4.25,4.25,233,,,4.25,4.75
FH26761421,CTY,A,10.38,10.38,10.25,10.38,10200,,,,
FH52154F31,HGR,,7.88,7.88,7.75,7.75,1800,,,,
FH410111631,GRAR,,3.12,3.5,3.12,3.5,2725,,,3.12,3.5
FH76274421,NMSB,,3.5,3.5,3.5,3.5,300,,,3.5,4.0
FH11573721,AMT,,5.88,5.88,5.38,5.75,114200,,,,
FH46725331,FSCNY,,8.25,8.25,8.12,8.25,8084,,,8.12,8.25
FH3105110K71,ENSO,,3.25,3.25,2.88,3.12,113500,,,2.88,3.12
FH137102421,AHTS,,2.38,2.56,2.38,2.38,18000,,,2.38,2.5
